feat,n_nonnull,read_pct,share_pct,like_pct,old_like_pct,comment_pct,composite_pct,best_sub,best_abs
ct,2106,0.4824858267684355,0.44304149159400136,0.5498649711182932,0.5632752071451432,0.5788040784271443,0.5320313058240704,comment_pct,0.5788040784271443
topic_hotness_90d,1390,0.35041258601827185,0.38279330230428477,0.42263206719118634,0.4065705082401021,0.37322559822519263,0.3974756338220172,like_pct,0.42263206719118634
topic_hotness_30d,1310,0.32438402039879355,0.35277078576969423,0.3979932622746132,0.37908258998817135,0.35222032118460567,0.36904745810912026,like_pct,0.3979932622746132
comment_count_real,1626,0.3036116532303563,0.25913285743863446,0.2801333477975834,0.3086142673910531,0.34535285754158934,0.31964647831657644,comment_pct,0.34535285754158934
comment_max_likes,1626,0.343146112809877,0.25665871582821403,0.26059472613802953,0.29106530798176555,0.26199949347326557,0.32106751482445567,read_pct,0.343146112809877
cover_r,2106,0.2083519476684446,0.3229529945881749,0.25434025637110697,0.24271165711970757,0.13091566568330215,0.24961291506413685,share_pct,0.3229529945881749
cover_brightness,2106,0.20652858583273215,0.3208310688422316,0.2522005494352228,0.24155007898259576,0.1324508326192688,0.2477147873490714,share_pct,0.3208310688422316
cover_g,2106,0.20535800034563925,0.32011052243922405,0.25257340216815,0.2424041904452063,0.13240833585413944,0.2470946808965811,share_pct,0.32011052243922405
cover_b,2106,0.20410643138921314,0.319452132344598,0.24909607949518475,0.2367621194221465,0.129943069703792,0.24418678166204275,share_pct,0.319452132344598
b_para_avg_chars,2106,0.11959870604167248,0.2963891255960895,0.2615692149846482,0.20220764275023415,-0.00907583248405229,0.18705522930991875,share_pct,0.2963891255960895
b_para_std_chars,2106,0.11794841689029041,0.29454728536881647,0.26064205774509275,0.20190999472305543,-0.009239149556469003,0.185817351773471,share_pct,0.29454728536881647
b_last_para_chars,2106,0.1143264556903435,0.29146326333307376,0.2550038607699684,0.1965500573193693,-0.012223512132465808,0.18124206315693395,share_pct,0.29146326333307376
b_chars,2106,0.11209882532657069,0.28823752287301857,0.25430878852227023,0.19608703700154298,-0.014132279157270626,0.18000487659160677,share_pct,0.28823752287301857
jb_word_count,2106,0.11142649636909804,0.2859843065429684,0.2577171616912713,0.2007730934971226,-0.012653444537529134,0.1807803083678435,share_pct,0.2859843065429684
b_para_max_chars,2106,0.10437333090824233,0.28173084316151703,0.2456624996171537,0.187138233044224,-0.022659174362717877,0.17147696532864817,share_pct,0.28173084316151703
jb_unique_words,2106,0.11122728966524915,0.2807133813596511,0.25597232789345586,0.19893436081654378,-0.013003240141302271,0.17850542250825227,share_pct,0.2807133813596511
jb_lexical_diversity,2106,-0.09205269109870692,-0.2637382246599811,-0.2295868975532472,-0.18074302054763527,0.022944741206555763,-0.16002032583790476,share_pct,0.2637382246599811
b_periods,2106,0.09385239749033743,0.2494874569669848,0.21291303076648657,0.16299956123096332,-0.03361924354919978,0.15024669463884796,share_pct,0.2494874569669848
tb_ratio,2106,-0.09002637267123832,-0.2449913659310305,-0.2291198633486144,-0.18023907356530938,0.01980467964306317,-0.15506349851374837,share_pct,0.2449913659310305
comment_question_ratio,1626,0.17449349004940792,0.18898532658849498,0.14835791672208082,0.1474571513602083,0.2374668842753,0.1912048470874704,comment_pct,0.2374668842753
comment_ip_diversity,1626,0.21532087571989209,0.18104836495859145,0.1972299208596304,0.21793549768645518,0.2291099403727057,0.224600502345256,comment_pct,0.2291099403727057
comment_at_ratio,1626,0.1986156721249724,0.19464325225505116,0.228234934264513,0.22203097938190663,0.19200010931518657,0.22093510106107292,like_pct,0.228234934264513
action_verb_count,2106,0.1597083632595753,0.21667593396867166,0.214335373045074,0.19968275744602665,0.11753558727941049,0.1902657439534386,share_pct,0.21667593396867166
b_dots3,2106,0.1746342357173022,0.20240913973012334,0.20088875328240532,0.2022907668833506,0.1587406738200565,0.19784840255858285,share_pct,0.20240913973012334
comment_long_ratio,1626,0.1606061829884247,0.17839004195300767,0.19634977785377497,0.19806865433731138,0.14319637973302138,0.18768532940216306,old_like_pct,0.19806865433731138
jb_avg_word_len,2106,-0.1433106415561882,-0.1416859272020492,-0.17329549733286148,-0.19643998062057436,-0.13957425754711197,-0.16553387963814287,old_like_pct,0.19643998062057436
comment_avg_length,1626,0.14924044667157949,0.17027218510422926,0.19454862627183298,0.18497115428768063,0.13702851086844806,0.17841689430485738,like_pct,0.19454862627183298
b_img_count,2106,0.13244943571897816,0.18758891324944962,0.16181906553501568,0.15783484456818161,0.08171012524906156,0.1554714212390525,share_pct,0.18758891324944962
comment_sentiment_neg_ratio,1626,0.18020771432732502,0.1542681315950747,0.15197072445689863,0.17428159782956198,0.1765426750758217,0.18426535052124543,read_pct,0.18020771432732502
opinion_strength_markers,2106,0.13411200563214024,0.17384695352352142,0.1657823661776911,0.16440360022580658,0.08157464982395134,0.154216555063064,share_pct,0.17384695352352142
